epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.9227,0.92144,1.76687,1.04984,1.16179,0.91389,0.85754,0.9293,0.7719,0.91437,0.85674,0.92553,0.72902,0.63432,1.09247,0.47682,0.92471,0.00330556,0.00330556,0.00330556
2,76.5643,0.67176,0.99577,0.49643,0.93762,0.90519,0.81124,0.89834,0.72832,0.90597,0.81041,0.8956,0.70658,0.69913,1.17082,0.58304,0.95171,0.00663882,0.00663882,0.00663882
3,113.782,0.6989,1.0242,0.50842,0.93956,0.81699,0.75736,0.81679,0.60731,0.81587,0.75633,0.81028,0.57316,0.84298,2.12481,0.84868,1.028,0.00997183,0.00997183,0.00997183
4,150.35,0.71179,1.01967,0.52392,0.94845,0.86161,0.83382,0.86845,0.67291,0.86183,0.83298,0.86427,0.64368,0.71783,1.42003,0.68792,0.98162,0.00999912,0.00999912,0.00999912
5,187.023,0.6823,0.97283,0.49494,0.93747,0.89575,0.8347,0.90806,0.73714,0.89531,0.83429,0.90452,0.71498,0.68858,1.3008,0.5533,0.96345,0.00999844,0.00999844,0.00999844
6,223.713,0.65646,0.93175,0.46526,0.92493,0.9104,0.84715,0.91717,0.75504,0.91119,0.84581,0.91377,0.7167,0.67822,1.35472,0.49755,0.95243,0.00999756,0.00999756,0.00999756
7,260.262,0.63675,0.89931,0.44746,0.91887,0.9123,0.85003,0.92218,0.75827,0.91106,0.84931,0.91751,0.73907,0.68371,1.24407,0.49553,0.96092,0.00999648,0.00999648,0.00999648
8,297.258,0.62664,0.87892,0.43382,0.91343,0.91631,0.86815,0.93234,0.76883,0.91616,0.868,0.92946,0.74813,0.65196,1.12358,0.48024,0.93951,0.00999521,0.00999521,0.00999521
9,334.049,0.61323,0.8683,0.42193,0.90936,0.92594,0.87393,0.93648,0.78635,0.92689,0.87203,0.93176,0.76225,0.63103,1.06305,0.45142,0.93587,0.00999375,0.00999375,0.00999375
10,370.758,0.59905,0.84375,0.41085,0.90513,0.91668,0.85837,0.9256,0.77219,0.91825,0.85768,0.92361,0.74736,0.64236,1.11023,0.47753,0.93464,0.00999209,0.00999209,0.00999209
11,407.668,0.58855,0.82553,0.39925,0.89869,0.93068,0.8672,0.93539,0.78582,0.9334,0.86411,0.93155,0.75761,0.62823,1.10576,0.43605,0.92805,0.00999023,0.00999023,0.00999023
12,444.626,0.57741,0.80888,0.39129,0.89656,0.92805,0.86947,0.93708,0.78804,0.9266,0.87058,0.93456,0.76602,0.62684,1.06098,0.43056,0.92964,0.00998818,0.00998818,0.00998818
13,481.876,0.57056,0.80342,0.38514,0.89261,0.91847,0.86346,0.93158,0.78126,0.91768,0.86326,0.92889,0.75434,0.6296,1.0562,0.4587,0.93131,0.00998594,0.00998594,0.00998594
14,518.958,0.56373,0.79087,0.37664,0.89079,0.9214,0.87837,0.93905,0.79246,0.92154,0.87648,0.9349,0.76492,0.62903,1.03291,0.42009,0.92646,0.0099835,0.0099835,0.0099835
15,555.678,0.55656,0.78608,0.37249,0.88767,0.9258,0.87183,0.93731,0.78993,0.92615,0.87103,0.93382,0.76406,0.63427,1.04958,0.42472,0.93437,0.00998086,0.00998086,0.00998086
16,592.605,0.54877,0.77195,0.36686,0.88608,0.92917,0.86815,0.93669,0.78332,0.9299,0.86883,0.93428,0.7566,0.63457,1.04428,0.42558,0.9299,0.00997803,0.00997803,0.00997803
17,629.012,0.54489,0.76556,0.36329,0.88425,0.93582,0.87568,0.94346,0.79971,0.93465,0.87514,0.94022,0.77768,0.61744,0.99205,0.40787,0.92568,0.00997501,0.00997501,0.00997501
18,665.845,0.53721,0.75152,0.35684,0.88188,0.92608,0.88092,0.94367,0.79759,0.92625,0.87861,0.94056,0.76429,0.61551,1.03598,0.40919,0.93053,0.00997179,0.00997179,0.00997179
19,702.34,0.5366,0.75691,0.3551,0.88196,0.93635,0.88314,0.94604,0.81431,0.93682,0.88125,0.9432,0.78334,0.59113,0.98525,0.39587,0.91267,0.00996838,0.00996838,0.00996838
20,739.403,0.52933,0.74267,0.35116,0.87885,0.94077,0.87478,0.94437,0.80797,0.94152,0.87423,0.94187,0.77715,0.60057,0.98776,0.39973,0.90993,0.00996477,0.00996477,0.00996477
21,776.263,0.52407,0.73596,0.34601,0.8775,0.92846,0.88983,0.94699,0.80614,0.92846,0.88983,0.94493,0.77032,0.60428,1.02167,0.38803,0.92018,0.00996097,0.00996097,0.00996097
22,813.111,0.52149,0.7316,0.34278,0.87537,0.93989,0.87654,0.94634,0.80509,0.93889,0.87586,0.94172,0.77871,0.60743,0.99428,0.39227,0.92237,0.00995697,0.00995697,0.00995697
23,850.249,0.51576,0.7247,0.33912,0.87499,0.93425,0.88006,0.94655,0.80613,0.93512,0.87849,0.94337,0.77264,0.59666,0.98274,0.39793,0.91875,0.00995278,0.00995278,0.00995278
24,887.141,0.51099,0.7173,0.33705,0.87264,0.9341,0.88566,0.94581,0.80314,0.93459,0.88358,0.94274,0.77991,0.61668,1.01392,0.39111,0.92521,0.0099484,0.0099484,0.0099484
25,924.286,0.50547,0.7086,0.33354,0.8711,0.93763,0.88638,0.94911,0.81456,0.93857,0.88495,0.94632,0.78384,0.59177,0.98523,0.37904,0.90993,0.00994383,0.00994383,0.00994383
26,961.335,0.50364,0.71535,0.33119,0.87108,0.93361,0.88207,0.94548,0.80861,0.93261,0.88113,0.94177,0.77778,0.59584,0.9539,0.38864,0.91658,0.00993906,0.00993906,0.00993906
27,997.978,0.49948,0.69805,0.32645,0.86946,0.93372,0.8928,0.95113,0.81325,0.93398,0.89188,0.94778,0.7855,0.5856,0.97551,0.37407,0.91035,0.0099341,0.0099341,0.0099341
28,1034.5,0.49579,0.68527,0.32553,0.86866,0.93799,0.89064,0.9504,0.81622,0.93866,0.8891,0.94691,0.77824,0.58835,0.95561,0.36844,0.90835,0.00992894,0.00992894,0.00992894
29,1070.96,0.49566,0.69627,0.32465,0.86756,0.93676,0.888,0.94962,0.81609,0.93631,0.88655,0.94608,0.78465,0.59418,0.97384,0.37841,0.91633,0.00992359,0.00992359,0.00992359
30,1107.75,0.49086,0.69106,0.3225,0.86755,0.93698,0.88599,0.95078,0.81593,0.9401,0.88157,0.94707,0.7862,0.58232,0.94424,0.37368,0.90465,0.00991805,0.00991805,0.00991805
31,1144.18,0.48747,0.68444,0.31974,0.86614,0.93828,0.88683,0.94896,0.81599,0.93843,0.88606,0.94545,0.78366,0.586,0.9589,0.37118,0.91364,0.00991232,0.00991232,0.00991232
32,1180.92,0.4802,0.67482,0.31518,0.8638,0.93941,0.88975,0.95262,0.82071,0.94136,0.88611,0.94895,0.7883,0.58169,0.94269,0.36324,0.90748,0.0099064,0.0099064,0.0099064
33,1217.48,0.48238,0.67169,0.3149,0.86535,0.93798,0.88383,0.94998,0.82157,0.93847,0.88211,0.94676,0.78868,0.58014,0.9432,0.37088,0.90698,0.00990028,0.00990028,0.00990028
34,1254.05,0.47815,0.67447,0.3141,0.86345,0.93985,0.89162,0.95353,0.82435,0.94335,0.88774,0.95028,0.79312,0.57461,0.93184,0.36104,0.90568,0.00989398,0.00989398,0.00989398
35,1290.55,0.47533,0.66786,0.31115,0.86247,0.94318,0.8803,0.94915,0.8206,0.94409,0.87812,0.94493,0.7856,0.57573,0.9408,0.37305,0.90625,0.00988748,0.00988748,0.00988748
36,1327.02,0.47211,0.66084,0.30823,0.86101,0.94193,0.88394,0.95032,0.82245,0.94157,0.88327,0.94712,0.78853,0.58171,0.96556,0.37084,0.90272,0.00988079,0.00988079,0.00988079
37,1363.83,0.46804,0.65702,0.30812,0.86123,0.9414,0.88951,0.95368,0.82259,0.94142,0.88852,0.95042,0.79215,0.56834,0.91567,0.35985,0.90244,0.00987391,0.00987391,0.00987391
38,1400.65,0.46681,0.65312,0.30528,0.85988,0.94192,0.88726,0.95229,0.82475,0.94377,0.88473,0.94917,0.7886,0.56704,0.92349,0.36157,0.89573,0.00986684,0.00986684,0.00986684
39,1437.07,0.46403,0.65314,0.3043,0.85999,0.93871,0.89266,0.95252,0.82508,0.93876,0.89114,0.94959,0.79223,0.57427,0.93598,0.35738,0.90146,0.00985958,0.00985958,0.00985958
40,1473.72,0.46212,0.64802,0.30344,0.85907,0.94085,0.89737,0.95576,0.82789,0.94129,0.89547,0.95206,0.78794,0.56497,0.9037,0.34808,0.89766,0.00985213,0.00985213,0.00985213
41,1510.44,0.46006,0.64489,0.30031,0.85758,0.94408,0.89839,0.95857,0.82974,0.94533,0.89562,0.95428,0.79519,0.56051,0.89868,0.343,0.89722,0.00984449,0.00984449,0.00984449
42,1547.19,0.45906,0.64738,0.30131,0.85818,0.93533,0.89828,0.95477,0.82496,0.93512,0.89671,0.95057,0.7925,0.56433,0.90911,0.35209,0.90405,0.00983666,0.00983666,0.00983666
43,1583.7,0.45696,0.6423,0.29996,0.85751,0.94235,0.8976,0.95718,0.83094,0.94316,0.89571,0.95411,0.79443,0.56308,0.90183,0.344,0.89833,0.00982864,0.00982864,0.00982864
44,1620.35,0.45381,0.63569,0.29813,0.85589,0.94604,0.89094,0.95532,0.8288,0.94331,0.89091,0.95164,0.79538,0.56229,0.89728,0.35039,0.9025,0.00982043,0.00982043,0.00982043
45,1656.79,0.4512,0.63035,0.29469,0.85605,0.9408,0.90199,0.95807,0.83356,0.94196,0.89879,0.95481,0.7989,0.5587,0.90298,0.33923,0.89918,0.00981204,0.00981204,0.00981204
46,1693.42,0.44978,0.63049,0.29569,0.85652,0.94281,0.89533,0.95701,0.83062,0.9448,0.89094,0.95254,0.79677,0.5548,0.88483,0.34643,0.89805,0.00980345,0.00980345,0.00980345
47,1730.02,0.44765,0.62826,0.29213,0.85389,0.94299,0.90071,0.95876,0.8336,0.94478,0.89701,0.95445,0.7968,0.55101,0.87388,0.33665,0.89143,0.00979468,0.00979468,0.00979468
48,1766.89,0.44405,0.62304,0.29108,0.8551,0.94253,0.89902,0.95786,0.83241,0.94236,0.89781,0.95482,0.79508,0.55251,0.89603,0.33824,0.89482,0.00978572,0.00978572,0.00978572
49,1803.63,0.44452,0.62237,0.29124,0.85387,0.94126,0.89799,0.95726,0.83081,0.94267,0.89589,0.95452,0.79373,0.55748,0.88631,0.33939,0.89304,0.00977658,0.00977658,0.00977658
50,1840.25,0.44201,0.62383,0.2899,0.85321,0.93993,0.89987,0.95775,0.83308,0.94059,0.89696,0.95372,0.79465,0.55333,0.88938,0.34019,0.89037,0.00976725,0.00976725,0.00976725
51,1876.71,0.43821,0.61587,0.28772,0.85205,0.94507,0.89772,0.95752,0.83506,0.94606,0.89665,0.9545,0.79958,0.55295,0.87805,0.33721,0.89467,0.00975773,0.00975773,0.00975773
52,1913.45,0.43424,0.60831,0.28755,0.85308,0.94699,0.89925,0.95793,0.83399,0.94665,0.89766,0.95359,0.79761,0.55385,0.87759,0.33321,0.90019,0.00974803,0.00974803,0.00974803
53,1949.95,0.43445,0.60976,0.28565,0.85238,0.94154,0.90166,0.95898,0.83384,0.9414,0.90016,0.95481,0.79763,0.55054,0.87286,0.33604,0.8937,0.00973814,0.00973814,0.00973814
54,1986.57,0.43196,0.60744,0.28377,0.85234,0.95011,0.89838,0.95992,0.83778,0.94922,0.89714,0.95622,0.80021,0.55024,0.88687,0.33007,0.89066,0.00972806,0.00972806,0.00972806
55,2023.1,0.43402,0.61166,0.28569,0.85229,0.94466,0.89978,0.95887,0.83553,0.94638,0.89796,0.95563,0.79954,0.55034,0.87515,0.33231,0.89819,0.0097178,0.0097178,0.0097178
56,2059.84,0.42964,0.609,0.28326,0.85162,0.94519,0.90129,0.95951,0.83768,0.9481,0.89731,0.95516,0.80007,0.54658,0.87548,0.33011,0.89443,0.00970736,0.00970736,0.00970736
57,2096.48,0.43209,0.60911,0.2838,0.85055,0.94513,0.89879,0.95809,0.83696,0.94426,0.89796,0.95473,0.8009,0.55036,0.88937,0.33158,0.89366,0.00969673,0.00969673,0.00969673
58,2133.15,0.42749,0.60176,0.28142,0.85012,0.94174,0.90415,0.96052,0.83684,0.94255,0.90143,0.9564,0.80143,0.54845,0.8739,0.33043,0.8977,0.00968592,0.00968592,0.00968592
59,2169.92,0.42635,0.59851,0.27994,0.84973,0.94277,0.90208,0.95935,0.83739,0.94388,0.90042,0.95607,0.80061,0.54824,0.87356,0.32922,0.89438,0.00967493,0.00967493,0.00967493
60,2206.73,0.42357,0.59411,0.27898,0.84975,0.94496,0.90261,0.96017,0.8378,0.94424,0.90069,0.95595,0.80099,0.54769,0.87355,0.32983,0.89323,0.00966375,0.00966375,0.00966375
61,2243.49,0.42217,0.58808,0.27771,0.84848,0.94525,0.9019,0.96096,0.83837,0.94576,0.8998,0.9565,0.79893,0.54229,0.85449,0.32515,0.89033,0.00965239,0.00965239,0.00965239
